title,price,image
"BMW 5 серия E39 [рестайлинг] Седан , 2003",8300$,https://i.cars.kg/preview/r/ipWN7vl032ONK77g2931pw/1080x-/20230303/3523b3f9e927dc416d3351646c2917a1.jpg
"BMW 5 серия , 1992",5000$,https://i.cars.kg/preview/r/ypAmDKxKLrLR20WFfM_PrA/1080x-/20230302/d4991b2925a3f76c43ef4acc21d21749.jpg
"BMW X5 E53 Кроссовер , 2002",12000$,https://i.cars.kg/preview/r/dUsi_y_8Zis3_xIKoJc5xQ/1080x-/20230301/1dfc26f1c23ccc7c3435ec3d4d04903e.jpeg
"BMW 5 серия E34 Седан , 1992",3900$,https://i.cars.kg/preview/r/J6IPxNYV91vc6LXyQAevCw/1080x-/20230227/63a5c03b3138f0e2c88987234fbbf20b.jpg
"BMW 5 серия E60/E61 [рестайлинг] Седан , 2007",11000$,https://i.cars.kg/preview/r/RlzEY-XjcLCIVYa-XfeOLA/1080x-/20230226/a29ddeaaa43d2b8670b531c61c6fd478.jpg
"BMW X5 E70 Кроссовер , 2007",12000$,https://i.cars.kg/preview/r/S5P-v2oCLBiuS6V9lYtPkA/1080x-/20230226/1211d267e71b1f35b120d6aa2afdda17.webp
"BMW X6 F16 Sports Activity Coupe кроссовер , 2016",48000$,https://i.cars.kg/preview/r/7nFVtFGIDuMu0wfoNGdRuQ/1080x-/20230224/425555c070011dcafdc01d08576b6e1f.jpg
"BMW X5 E53 [рестайлинг] Кроссовер , 2005",13$,https://i.cars.kg/preview/r/LOP0Nqarq0oK-fQW35XWKQ/1080x-/20230223/b37ed1dd725767c5d3a2bfc7d06b5ce0.jpg
"BMW X5 E70 [рестайлинг] Кроссовер , 2012",25000$,https://i.cars.kg/preview/r/OQEO19-Kjjavo-VPSPpvZg/1080x-/20230221/d1c8d6500c885fe31c9ed7ae7ee9b191.jpg
"BMW 5 серия E39 [рестайлинг] Touring универсал , 2003",6000$,https://i.cars.kg/preview/r/pqHA7KA5a9FjU2WsqxJ6Lw/1080x-/20230221/813c00ace14baacebe8acf27a8918d1d.jpg
"BMW 5 серия E60/E61 Седан , 2003",11900$,https://i.cars.kg/preview/r/7Ihvlqc-HzSLjxRZe46oWQ/1080x-/20230219/222535d688571a34aa4adf9230db717d.jpg
"BMW 5 серия E60/E61 , 2003",10500$,https://i.cars.kg/preview/r/ozbzfSmvprYCDNenjeW4xQ/1080x-/20230218/e926eb7f853982b444c745312a56769d.jpg
"BMW 5 серия E39 [рестайлинг] Седан , 2001",3500$,https://i.cars.kg/preview/r/ef0SA6wqxTbGYOOQCC20hA/1080x-/20230217/416c41db88c7341ddfe172952fd229cd.jpg
